date,DepN,DepSO4
2016.07,0.908285714,0.339285714
2016.08,0.797285714,0.356714286
2016.09,1.091857143,0.522857143
2016.1,0.898857143,0.401571429
2016.11,0.816142857,0.386285714
2016.12,0.976428571,0.388857143
2017.01,0.861714286,0.271857143
2017.02,1.105714286,0.296142857
2017.03,1.462714286,0.550285714
2017.04,0.752285714,0.339285714
2017.05,0.707714286,0.259714286
2017.06,0.864571429,0.266857143
2017.07,1.015857143,0.362571429
2017.08,0.818,0.390571429
2017.09,0.966142857,0.327714286
